iter	Passed	Remaining
403	7443	10980
404	7463	10964
405	7483	10948
406	7501	10929
407	7521	10912
408	7540	10895
409	7560	10879
410	7579	10861
411	7600	10846
412	7619	10829
413	7636	10809
414	7654	10790
415	7673	10772
416	7692	10754
417	7713	10739
418	7731	10720
419	7742	10691
420	7761	10674
421	7780	10656
422	7798	10638
423	7818	10621
424	7839	10606
425	7857	10587
426	7876	10569
427	7895	10552
428	7915	10535
429	7933	10517
430	7952	10498
431	7971	10480
432	7991	10464
433	8010	10447
434	8030	10430
435	8050	10414
436	8061	10386
437	8082	10370
438	8104	10357
439	8123	10339
440	8144	10323
441	8163	10305
442	8181	10287
443	8202	10271
444	8222	10255
445	8242	10238
446	8262	10222
447	8282	10205
448	8300	10186
449	8320	10169
450	8340	10153
451	8360	10136
452	8379	10118
453	8398	10100
454	8418	10083
455	8436	10064
456	8456	10048
457	8477	10032
458	8497	10016
459	8512	9992
460	8530	9973
461	8551	9958
462	8573	9943
463	8591	9924
464	8608	9904
465	8625	9884
466	8645	9867
467	8664	9849
468	8684	9832
469	8704	9816
470	8723	9797
471	8742	9779
472	8761	9762
473	8781	9744
474	8795	9721
475	8816	9705
476	8830	9681
477	8849	9664
478	8869	9647
479	8888	9629
480	8909	9613
481	8926	9593
482	8946	9575
483	8966	9559
484	8985	9540
485	9005	9524
486	9023	9505
487	9042	9487
488	9061	9469
489	9082	9452
490	9103	9436
491	9114	9410
492	9134	9393
493	9153	9376
494	9174	9359
495	9193	9342
496	9214	9326
497	9233	9307
498	9252	9289
499	9271	9271
500	9291	9253
501	9309	9235
502	9329	9217
503	9350	9201
504	9370	9184
505	9390	9167
506	9408	9148
507	9429	9132
508	9449	9114
509	9467	9096
510	9486	9077
511	9504	9058
512	9523	9041
513	9543	9023
514	9563	9006
515	9581	8987
516	9600	8969
517	9620	8951
518	9641	8935
519	9660	8917
520	9679	8899
521	9697	8880
522	9713	8859
523	9733	8841
524	9753	8824
525	9772	8806
526	9792	8789
527	9812	8771
528	9832	8754
529	9852	8737
530	9873	8720
531	9892	8702
532	9911	8683
533	9929	8665
534	9947	8646
535	9964	8626
536	9984	8608
537	10001	8588
538	10012	8563
539	10030	8544
540	10047	8524
541	10062	8503
542	10079	8483
543	10094	8461
544	10115	8445
545	10136	8428
546	10156	8410
547	10171	8389
548	10190	8371
549	10209	8353
550	10228	8335
551	10250	8319
552	10270	8301
553	10291	8284
554	10310	8267
555	10330	8249
556	10350	8232
557	10369	8214
558	10389	8196
559	10409	8179
560	10431	8162
561	10451	8145
562	10472	8129
563	10493	8112
564	10513	8094
565	10534	8077
566	10553	8059
567	10570	8039
568	10589	8021
569	10610	8004
570	10631	7987
571	10651	7970
572	10671	7952
573	10692	7935
574	10714	7919
575	10734	7901
576	10754	7883
577	10775	7866
578	10795	7849
579	10814	7831
580	10835	7814
581	10856	7797
582	10877	7780
583	10897	7762
584	10919	7745
585	10939	7728
586	10961	7712
587	10981	7694
588	11001	7676
589	11021	7658
590	11040	7640
591	11059	7622
592	11079	7604
593	11098	7585
594	11118	7567
595	11137	7549
596	11154	7529
597	11173	7511
598	11193	7493
599	11213	7475
600	11231	7456
601	11250	7438
602	11268	7418
603	11286	7399
604	11304	7380
605	11323	7361
606	11341	7342
607	11360	7324
608	11381	7307
609	11400	7288
610	11420	7270
611	11439	7252
612	11459	7234
613	11479	7216
614	11499	7198
615	11519	7181
616	11538	7162
617	11558	7144
618	11576	7125
619	11596	7107
620	11617	7090
621	11637	7072
622	11657	7054
623	11679	7037
624	11698	7019
625	11718	7001
626	11738	6983
627	11759	6965
628	11779	6947
629	11799	6929
630	11819	6911
631	11839	6893
632	11859	6876
633	11879	6858
634	11904	6842
635	11933	6830
636	11954	6812
637	11974	6794
638	11993	6775
639	12013	6757
640	12032	6739
641	12053	6721
642	12071	6702
643	12090	6683
644	12109	6664
645	12129	6646
646	12149	6628
647	12168	6609
648	12188	6591
649	12207	6573
650	12226	6554
651	12244	6535
652	12259	6514
653	12274	6494
654	12295	6476
655	12314	6457
656	12334	6439
657	12353	6420
658	12373	6402
659	12392	6383
660	12412	6365
661	12432	6347
662	12454	6330
663	12473	6311
664	12490	6292
665	12513	6275
666	12534	6257
667	12553	6238
668	12571	6219
669	12590	6201
670	12609	6182
671	12629	6164
672	12648	6145
673	12667	6127
674	12686	6108
675	12705	6089
676	12725	6071
677	12746	6053
678	12763	6033
679	12783	6015
680	12801	5996
681	12821	5978
682	12840	5959
683	12858	5940
684	12877	5921
685	12898	5903
686	12916	5884
687	12935	5866
688	12954	5847
689	12974	5829
690	12994	5810
691	13013	5791
692	13032	5773
693	13052	5754
694	13072	5736
695	13092	5718
696	13111	5699
697	13131	5681
698	13150	5662
699	13170	5644
700	13190	5626
701	13210	5608
702	13231	5590
703	13253	5572
704	13273	5554
705	13293	5535
706	13314	5517
707	13334	5499
708	13355	5481
709	13375	5463
710	13393	5444
711	13413	5425
712	13433	5407
713	13452	5388
714	13473	5370
715	13493	5352
716	13513	5333
717	13533	5315
718	13553	5297
719	13573	5278
720	13593	5260
721	13614	5242
722	13634	5223
723	13652	5204
724	13671	5185
725	13689	5166
726	13706	5147
727	13727	5128
728	13747	5110
729	13767	5092
730	13787	5073
731	13805	5054
732	13823	5035
733	13843	5016
734	13863	4998
735	13883	4979
736	13903	4961
737	13923	4942
738	13944	4924
739	13963	4906
740	13984	4887
741	14004	4869
742	14024	4850
743	14043	4832
744	14064	4814
745	14085	4795
746	14105	4777
747	14123	4758
748	14142	4739
749	14162	4720
750	14182	4702
751	14201	4683
752	14219	4664
753	14239	4645
754	14256	4626
755	14274	4607
756	14294	4588
757	14312	4569
758	14330	4550
759	14350	4531
760	14370	4513
761	14389	4494
762	14410	4476
763	14429	4457
764	14449	4438
765	14468	4419
766	14488	4401
767	14509	4382
768	14528	4364
769	14549	4345
770	14568	4327
771	14588	4308
772	14608	4290
773	14627	4271
774	14647	4252
775	14666	4233
776	14687	4215
777	14708	4197
778	14728	4178
779	14749	4160
780	14769	4141
781	14789	4122
782	14809	4104
783	14828	4085
784	14849	4067
785	14868	4048
786	14888	4029
787	14907	4010
788	14926	3991
789	14946	3973
790	14966	3954
791	14985	3935
792	15005	3916
793	15027	3898
794	15048	3880
795	15068	3861
796	15086	3842
797	15104	3823
798	15123	3804
799	15143	3785
800	15163	3767
801	15183	3748
802	15203	3729
803	15223	3711
804	15243	3692
805	15262	3673
806	15276	3653
807	15295	3634
808	15315	3615
809	15336	3597
810	15355	3578
811	15373	3559
812	15393	3540
813	15413	3522
814	15433	3503
815	15453	3484
816	15473	3465
817	15493	3447
818	15512	3428
819	15533	3409
820	15553	3391
821	15573	3372
822	15593	3353
823	15613	3334
824	15633	3316
825	15652	3297
826	15672	3278
827	15693	3259
828	15713	3241
829	15733	3222
830	15754	3203
831	15774	3185
832	15794	3166
833	15816	3148
834	15837	3129
835	15857	3110
836	15877	3091
837	15896	3073
838	15916	3054
839	15935	3035
840	15953	3016
841	15973	2997
842	15993	2978
843	16013	2959
844	16032	2940
845	16052	2922
846	16071	2903
847	16090	2884
848	16110	2865
849	16131	2846
850	16151	2827
851	16172	2809
852	16192	2790
853	16213	2771
854	16233	2753
855	16252	2733
856	16273	2715
857	16292	2696
858	16313	2677
859	16331	2658
860	16349	2639
861	16367	2620
862	16386	2601
863	16407	2582
864	16427	2563
865	16447	2545
866	16467	2526
867	16486	2507
868	16506	2488
869	16526	2469
870	16547	2450
871	16568	2432
872	16589	2413
873	16609	2394
874	16629	2375
875	16649	2356
876	16670	2338
877	16692	2319
878	16713	2300
879	16732	2281
880	16753	2263
881	16774	2244
882	16793	2225
883	16813	2206
884	16833	2187
885	16852	2168
886	16873	2149
887	16893	2130
888	16912	2111
889	16930	2092
890	16950	2073
891	16970	2054
892	16991	2035
893	17013	2017
894	17033	1998
895	17052	1979
896	17071	1960
897	17089	1941
898	17108	1922
899	17127	1903
900	17146	1884
901	17166	1865
902	17186	1846
903	17207	1827
904	17226	1808
905	17246	1789
906	17264	1770
907	17284	1751
908	17304	1732
909	17324	1713
910	17343	1694
911	17362	1675
912	17382	1656
913	17402	1637
914	17422	1618
915	17442	1599
916	17461	1580
917	17482	1561
918	17502	1542
919	17521	1523
920	17540	1504
921	17561	1485
922	17581	1466
923	17601	1447
924	17620	1428
925	17638	1409
926	17658	1390
927	17677	1371
928	17696	1352
929	17714	1333
930	17734	1314
931	17754	1295
932	17774	1276
933	17795	1257
934	17815	1238
935	17834	1219
936	17855	1200
937	17876	1181
938	17898	1162
939	17918	1143
940	17938	1124
941	17958	1105
942	17978	1086
943	17998	1067
944	18017	1048
945	18037	1029
946	18056	1010
947	18074	991
948	18091	972
949	18109	953
950	18126	933
951	18143	914
952	18164	895
953	18184	876
954	18204	857
955	18223	838
956	18242	819
957	18261	800
958	18282	781
959	18302	762
960	18322	743
961	18342	724
962	18362	705
963	18380	686
964	18399	667
965	18420	648
966	18440	629
967	18460	610
968	18479	591
969	18498	572
970	18517	553
971	18535	533
972	18554	514
973	18574	495
974	18594	476
975	18614	457
976	18634	438
977	18654	419
978	18672	400
979	18689	381
980	18709	362
981	18728	343
982	18748	324
983	18768	305
984	18786	286
985	18806	267
986	18827	247
987	18846	228
988	18872	209
989	18897	190
990	18916	171
991	18936	152
992	18956	133
993	18976	114
994	18996	95
995	19018	76
996	19039	57
997	19059	38
998	19080	19
999	19097	0
